PC Timestamp (YYYY-MM-DD    HH:MM:SS.SSS),Toggle,Touch,Tilt,Mode
2017-02-22    01:05:35.478,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,0.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.479,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.480,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.480,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.480,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.480,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.480,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.480,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.480,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.480,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.480,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.480,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.480,1.0,0.0,228.0,1.0
2017-02-22    01:05:35.480,1.0,0.0,228.0,1.0
